percentile,value
p0p1,0.0
p1p2,0.0
p2p3,0.0
p3p4,0.0
p4p5,0.0
p5p6,0.0001
p6p7,0.0002
p7p8,0.0003
p8p9,0.0003
p9p10,0.0004
p10p11,0.0005
p11p12,0.0006
p12p13,0.0007
p13p14,0.0008
p14p15,0.0009
p15p16,0.001
p16p17,0.0011
p17p18,0.0011
p18p19,0.0012
p19p20,0.0013
p20p21,0.0013
p21p22,0.0014
p22p23,0.0015
p23p24,0.0015
p24p25,0.0016
p25p26,0.0017
p26p27,0.0017
p27p28,0.0018
p28p29,0.0019
p29p30,0.002
p30p31,0.002
p31p32,0.0021
p32p33,0.0022
p33p34,0.0023
p34p35,0.0024
p35p36,0.0024
p36p37,0.0025
p37p38,0.0026
p38p39,0.0027
p39p40,0.0028
p40p41,0.0029
p41p42,0.003
p42p43,0.0031
p43p44,0.0033
p44p45,0.0034
p45p46,0.0035
p46p47,0.0036
p47p48,0.0037
p48p49,0.0039
p49p50,0.004
p50p51,0.0041
p51p52,0.0043
p52p53,0.0044
p53p54,0.0046
p54p55,0.0047
p55p56,0.0049
p56p57,0.0051
p57p58,0.0052
p58p59,0.0054
p59p60,0.0056
p60p61,0.0059
p61p62,0.0061
p62p63,0.0064
p63p64,0.0066
p64p65,0.0068
p65p66,0.0071
p66p67,0.0074
p67p68,0.0076
p68p69,0.0079
p69p70,0.0083
p70p71,0.0086
p71p72,0.009
p72p73,0.0093
p73p74,0.0097
p74p75,0.0101
p75p76,0.0105
p76p77,0.011
p77p78,0.0115
p78p79,0.012
p79p80,0.0125
p80p81,0.0131
p81p82,0.0138
p82p83,0.0145
p83p84,0.0151
p84p85,0.0159
p85p86,0.0168
p86p87,0.0176
p87p88,0.0188
p88p89,0.0199
p89p90,0.0212
p90p91,0.0229
p91p92,0.0246
p92p93,0.0267
p93p94,0.0291
p94p95,0.0324
p95p96,0.0366
p96p97,0.0424
p97p98,0.0508
p98p99,0.0661
p99p100,0.1937
