percentile,value
p0p1,0.12030878663063
p1p2,0.239200994372368
p2p3,0.348689913749695
p3p4,0.439703732728958
p4p5,0.511379539966583
p5p6,0.527441263198853
p6p7,0.568652033805847
p7p8,0.623268604278564
p8p9,0.691909432411194
p9p10,0.74373596906662
p10p11,0.785740315914154
p11p12,0.839247226715088
p12p13,0.892923295497894
p13p14,0.945805728435516
p14p15,0.992348492145538
p15p16,1.03182220458984
p16p17,1.07074344158173
p17p18,1.1086927652359
p18p19,1.14734661579132
p19p20,1.18338143825531
p20p21,1.22357308864594
p21p22,1.25899374485016
p22p23,1.29875922203064
p23p24,1.34091663360596
p24p25,1.38716745376587
p25p26,1.43179666996002
p26p27,1.48159027099609
p27p28,1.52598369121551
p28p29,1.56291425228119
p29p30,1.60401046276093
p30p31,1.63724136352539
p31p32,1.67578506469727
p32p33,1.71114885807037
p33p34,1.7549512386322
p34p35,1.80144739151001
p35p36,1.84630823135376
p36p37,1.90471255779266
p37p38,1.96034681797028
p38p39,2.03231549263
p39p40,2.09217691421509
p40p41,2.16614198684692
p41p42,2.23503971099854
p42p43,2.30505895614624
p43p44,2.37256908416748
p44p45,2.4453706741333
p45p46,2.5135486125946
p46p47,2.58989095687866
p47p48,2.66911673545837
p48p49,2.7627694606781
p49p50,2.84455394744873
p50p51,2.92679381370544
p51p52,3.02425575256348
p52p53,3.11445665359497
p53p54,3.20197105407715
p54p55,3.30275440216064
p55p56,3.39151859283447
p56p57,3.52073740959167
p57p58,3.63390588760376
p58p59,3.75068330764771
p59p60,3.88930416107178
p60p61,4.0171947479248
p61p62,4.12442588806152
p62p63,4.25665998458862
p63p64,4.41123294830322
p64p65,4.54456758499146
p65p66,4.69492673873901
p66p67,4.85912942886353
p67p68,5.03333520889282
p68p69,5.20763826370239
p69p70,5.39978885650635
p70p71,5.62347745895386
p71p72,5.81604528427124
p72p73,5.92806577682495
p73p74,6.15576934814453
p74p75,6.3817286491394
p75p76,6.60953330993652
p76p77,6.85904407501221
p77p78,7.11842060089111
p78p79,7.35843563079834
p79p80,7.63076019287109
p80p81,7.95559024810791
p81p82,8.30252456665039
p82p83,8.58817863464355
p83p84,8.95770359039307
p84p85,9.34705829620361
p85p86,9.78372859954834
p86p87,10.2657070159912
p87p88,10.719259262085
p88p89,11.2702341079712
p89p90,11.874885559082
p90p91,12.736120223999
p91p92,13.6627702713013
p92p93,14.7694969177246
p93p94,16.1810894012451
p94p95,18.0401725769043
p95p96,20.3917465209961
p96p97,23.6317462921143
p97p98,28.3767337799072
p98p99,36.6893653869629
p99p100,105.899200439453
